DATE,USD
10723,4.0632
11723,4.0374
12723,4.0347
13723,3.9724
14723,3.9617
17723,3.9616
18723,3.9451
19723,3.9612
20723,3.971
21723,3.999
24723,4.021
25723,4.008
26723,3.9949
27723,3.9702
28723,4.0377
31723,3.9995
1823,4.0262
2823,4.0497
3823,4.081
4823,4.062
7823,4.0347
8823,4.0396
9823,4.0592
10823,4.0521
11823,4.0501
14823,4.0525
16823,4.0832
17823,4.1094
18823,4.1285
21823,4.1124
22823,4.0924
23823,4.1438
24823,4.118
25823,4.1419
28823,4.14
29823,4.1341
30823,4.1167
31823,4.1074
1923,4.1263
4923,4.1353
5923,4.1643
6923,4.1895
7923,4.289
8923,4.2958
11923,4.3077
12923,4.3711
13923,4.3225
14923,4.312
15923,4.3418
18923,4.3489
19923,4.3472
20923,4.3501
21923,4.3365
22923,4.3269
25923,4.3188
26923,4.3485
27923,4.3622
28923,4.4062
29923,4.3697
21023,4.3634
31023,4.4012
41023,4.4155
51023,4.3768
61023,4.3608
91023,4.3439
101023,4.2985
111023,4.2589
121023,4.2659
131023,4.3033
161023,4.2505
171023,4.2131
181023,4.2035
191023,4.2264
201023,4.2194
231023,4.2022
241023,4.1884
251023,4.2284
261023,4.2395
271023,4.2267
301023,4.204
311023,4.1684
21123,4.1963
31123,4.1857
61123,4.1512
71123,4.1667
81123,4.1804
91123,4.1513
101123,4.1423
131123,4.1474
141123,4.121
151123,4.0453
161123,4.0415
171123,4.0327
201123,3.9938
211123,3.9882
221123,4.018
231123,3.9969
241123,4.0103
271123,3.9769
281123,3.975
291123,3.9478
301123,3.981
11223,3.991
41223,3.985
51223,3.991
61223,4.0202
71223,4.0199
81223,4.0181
111223,4.0277
121223,4.0204
131223,4.0149
141223,3.9484
151223,3.9326
181223,3.9625
191223,3.9591
201223,3.9527
211223,3.9645
221223,3.9338
271223,3.9178
281223,3.899
291223,3.935
